검색조건
대출기간,2023-05-01 ~ 2023-05-19
성별,남성
연령,40대
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2023-05-20
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"164","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","26","9788950941901","74900","980.2","82",
"164","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","4","9788950977405","74900","980.2","82",
"164","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","17","9788950992835","74900","980.2","82",
"164","스카이 버스 =명문 대학으로 직행하는 초등 공부 전략서 /Sky bus ","분당강쌤 지음","다산북스","2023","","9791130696393","03370","373.4","82",
"164","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","13","9791164064281","74830","833.6","82",
"164","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","7","9791196893187","77900","909","82",
"171","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","03900","909","81",
"171","그리스 로마 신화","글: 박시연 ;그림: 최우빈","북이십일","2017","28","9788950971632","74800","219","81",
"171","오싹오싹 크레용! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2022","","9788964964767","77840","843","81",
"171","의사 어벤저스 :어린이 의학 동화","글: 고희정 ;그림: 조승연","가나문화콘텐츠","2021","10","9791168090248","74510","510","81",
"171","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","12","9791190305310","67400","408","81",
"171","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","6","9791196893170","77900","909","81",
"171","설민석의 한국사 대모험 24 - 병자호란의 최후 편 : 항전이냐 항복이냐","설민석, 스토리박스 (지은이), 정현희 (그림), 강석화 (감수)","단꿈아이","2023","24","9791198179913","","","81",
"178","(엉뚱한 기자) 김방구 :목에 사는 두꺼비 ","주봄 글 ;한승무 그림","비룡소","2022","","9788949168029","74800","813.7","80",
"178","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","25","9788950903473","74900","980.2","80",
"178","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","16","9788950991722","74900","980.2","80",
"178","무조건 합격하는 암기의 기술 :26살 9개월 만에 사법시험을 패스한 이윤규 변호사의 책 한 권 통째로 씹어먹는 공부법 ","이윤규 지음","길벗","2023","","9791140702725","03190","373.4","80",
"178","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","4","9791164060948","74830","833.6","80",
"178","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","14","9791164064243","74830","833.6","80",
